"IANA_Name","Win_DisplayName","Daylight_Start","Daylight_End","Offset"
"America/Argentina/San_Luis","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/San_Luis","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/San_Luis","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Tucuman","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Tucuman","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Tucuman","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Argentina/Ushuaia","(UTC-03:00) City of Buenos Aires","At 03:00 on Saturday,Week 3 of Oct (2008)","At 04:00 on Sunday,Week 3 of Mar (2008)","01:00:00"
"America/Argentina/Ushuaia","(UTC-03:00) City of Buenos Aires","At 03:00 on Sunday,Week 5 of Dec (2007)","At 04:00 on Monday,Week 1 of Jan (2007)","01:00:00"
"America/Argentina/Ushuaia","(UTC-03:00) City of Buenos Aires","At 03:00 on Thursday,Week 1 of Jan (2009)","At 04:00 on Saturday,Week 2 of Mar (2009)","01:00:00"
"America/Aruba","(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",,,
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2010)","At 04:00 on Saturday,Week 2 of Apr (2010)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2011)","At 04:00 on Saturday,Week 2 of Apr (2011)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2012)","At 04:00 on Saturday,Week 1 of Apr (2012)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2013)","At 04:00 on Saturday,Week 4 of Mar (2013)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2014)","At 04:00 on Saturday,Week 4 of Mar (2014)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2015)","At 04:00 on Saturday,Week 3 of Mar (2015)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2016)","At 04:00 on Saturday,Week 5 of Mar (2016)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2018)","At 04:00 on Saturday,Week 4 of Mar (2018)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2019)","At 04:00 on Saturday,Week 4 of Mar (2019)","01:00:00"
"America/Asuncion","(UTC-04:00) Asuncion","At 03:00 on Saturday,Week 1 of Oct (2020)","At 04:00 on Saturday,Week 3 of Mar (2020)","01:00:00"
